Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Arsenal,Nott'm Forest,Crystal Palace,Fulham,Man Utd,Everton,Spurs,Bournemouth,Man City,Chelsea,Sheff Utd,Newcastle,Burnley,Brentford,Wolves,Luton Town,Aston Villa,Brighton,Liverpool,West Ham,Fulham,Crystal Palace,Nott'm Forest,Liverpool,West Ham,Burnley,Newcastle,Sheff Utd,Brentford,Chelsea,Man City,Luton Town,Brighton,Aston Villa,Wolves,Spurs,Bournemouth,Man Utd,Everton
Aston Villa,Newcastle,Everton,Burnley,Liverpool,Crystal Palace,Chelsea,Brighton,Wolves,West Ham,Luton Town,Nott'm Forest,Fulham,Spurs,Bournemouth,Man City,Arsenal,Brentford,Sheff Utd,Man Utd,Burnley,Everton,Newcastle,Sheff Utd,Man Utd,Fulham,Nott'm Forest,Luton Town,Spurs,West Ham,Wolves,Man City,Brentford,Arsenal,Bournemouth,Chelsea,Brighton,Liverpool,Crystal Palace
Bournemouth,West Ham,Liverpool,Spurs,Brentford,Chelsea,Brighton,Arsenal,Everton,Wolves,Burnley,Man City,Newcastle,Sheff Utd,Aston Villa,Crystal Palace,Man Utd,Luton Town,Nott'm Forest,Fulham,Spurs,Liverpool,West Ham,Nott'm Forest,Fulham,Newcastle,Man City,Burnley,Sheff Utd,Wolves,Everton,Crystal Palace,Luton Town,Man Utd,Aston Villa,Brighton,Arsenal,Brentford,Chelsea
Brentford,Spurs,Fulham,Crystal Palace,Bournemouth,Newcastle,Everton,Nott'm Forest,Man Utd,Burnley,Chelsea,West Ham,Liverpool,Arsenal,Luton Town,Brighton,Sheff Utd,Aston Villa,Man City,Wolves,Crystal Palace,Nott'm Forest,Spurs,Man City,Wolves,Liverpool,West Ham,Chelsea,Arsenal,Burnley,Man Utd,Brighton,Aston Villa,Sheff Utd,Luton Town,Everton,Fulham,Bournemouth,Newcastle
Brighton,Luton Town,Wolves,West Ham,Newcastle,Man Utd,Bournemouth,Aston Villa,Liverpool,Man City,Fulham,Everton,Sheff Utd,Nott'm Forest,Chelsea,Brentford,Burnley,Arsenal,Crystal Palace,Spurs,West Ham,Wolves,Luton Town,Crystal Palace,Spurs,Sheff Utd,Everton,Fulham,Nott'm Forest,Man City,Liverpool,Brentford,Arsenal,Burnley,Chelsea,Bournemouth,Aston Villa,Newcastle,Man Utd
Burnley,Man City,Luton Town,Aston Villa,Spurs,Nott'm Forest,Man Utd,Newcastle,Chelsea,Brentford,Bournemouth,Crystal Palace,Arsenal,West Ham,Sheff Utd,Wolves,Brighton,Everton,Fulham,Liverpool,Aston Villa,Luton Town,Man City,Fulham,Liverpool,Arsenal,Crystal Palace,Bournemouth,West Ham,Brentford,Chelsea,Wolves,Everton,Brighton,Sheff Utd,Man Utd,Newcastle,Spurs,Nott'm Forest
Chelsea,Liverpool,West Ham,Luton Town,Nott'm Forest,Bournemouth,Aston Villa,Fulham,Burnely,Arsenal,Brentford,Spurs,Man City,Newcastle,Brighton,Man Utd,Everton,Sheff Utd,Wolves,Crystal Palace,Luton Town,Fulham,Liverpool,Wolves,Crystal Palace,Man City,Spurs,Brentford,Newcastle,Arsenal,Burnley,Man Utd,Sheff Utd,Everton,Brighton,Aston Villa,West Ham,Nott'm Forest,Bournemouth
Crystal Palace,Sheff Utd,Arsenal,Brentford,Wolves,Aston Villa,Fulham,Man Utd,Nott'm Forest,Newcastle,Spurs,Burnley,Everton,Luton Town,West Ham,Bournemouth,Liverpool,Man City,Brighton,Chelsea,Brentford,Arsenal,Sheff Utd,Brighton,Chelsea,Everton,Burnley,Spurs,Luton Town,Newcastle,Nott'm Forest,Bournemouth,Man City,Liverpool,West Ham,Fulham,Man Utd,Wolves,Aston Villa
Everton,Fulham,Aston Villa,Wolves,Sheff Utd,Arsenal,Brentford,Luton Town,Bournemouth,Liverpool,West Ham,Brighton,Crystal Palace,Man Utd,Nott'm Forest,Newcastle,Chelsea,Burnley,Spurs,Man City,Wolves,Aston Villa,Fulham,Spurs,Man City,Crystal Palace,Brighton,West Ham,Man Utd,Liverpool,Bournemouth,Newcastle,Burnley,Chelsea,Nott'm Forest,Brentford,Luton Town,Sheff Utd,Arsenal
Fulham,Everton,Brentford,Arsenal,Man City,Luton Town,Crystal Palace,Chelsea,Sheff Utd,Spurs,Brighton,Man Utd,Aston Villa,Wolves,Liverpool,Nott'm Forest,West Ham,Newcastle,Burnley,Bournemouth,Arsenal,Chelsea,Everton,Burnley,Bournemouth,Aston Villa,Man Utd,Brighton,Wolves,Spurs,Sheff Utd,Nott'm Forest,Newcastle,West Ham,Liverpool,Crystal Palace,Brentford,Man City,Luton Town
Liverpool,Chelsea,Bournemouth,Newcastle,Aston Villa,Wolves,West Ham,Spurs,Brighton,Everton,Nott'm Forest,Luton Town,Brentford,Man City,Fulham,Sheff Utd,Crystal Palace,Man Utd,Arsenal,Burnley,Newcastle,Bournemouth,Chelsea,Arsenal,Burnley,Brentford,Luton Town,Nott'm Forest,Man City,Everton,Brighton,Sheff Utd,Man Utd,Crystal Palace,Fulham,West Ham,Spurs,Aston Villa,Wolves
Luton Town,Brighton,Burnley,Chelsea,West Ham,Fulham,Wolves,Everton,Spurs,Nott'm Forest,Aston Villa,Liverpool,Man Utd,Crystal Palace,Brentford,Arsenal,Man City,Bournemouth,Newcastle,Sheff Utd,Chelsea,Burnley,Brighton,Newcastle,Sheff Utd,Man Utd,Liverpool,Aston Villa,Crystal Palace,Nott'm Forest,Spurs,Arsenal,Bournemouth,Man City,Brentford,Wolves,Everton,West Ham,Fulham
Man City,Burnley,Newcastle,Sheff Utd,Fulham,West Ham,Nott'm Forest,Wolves,Arsenal,Brighton,Man Utd,Bournemouth,Chelsea,Liverpool,Spurs,Aston Villa,Luton Town,Crystal Palace,Brentford,Everton,Sheff Utd,Newcastle,Burnley,Brentford,Everton,Chelsea,Bournemouth,Man Utd,Liverpool,Brighton,Arsenal,Aston Villa,Crystal Palace,Luton Town,Spurs,Nott'm Forest,Wolves,Fulham,West Ham
Man Utd,Wolves,Spurs,Nott'm Forest,Arsenal,Brighton,Burnley,Crystal Palace,Brentford,Sheff Utd,Man City,Fulham,Luton Town,Everton,Newcastle,Chelsea,Bournemouth,Liverpool,West Ham,Aston Villa,Nott'm Forest,Spurs,Wolves,West Ham,Aston Villa,Luton Town,Fulham,Man City,Everton,Sheff Utd,Brentford,Chelsea,Liverpool,Bournemouth,Newcastle,Burnley,Crystal Palace,Arsenal,Brighton
Newcastle,Aston Villa,Man City,Liverpool,Brighton,Brentford,Sheff Utd,Burnley,West Ham,Crystal Palace,Wolves,Arsenal,Bournemouth,Chelsea,Man Utd,Everton,Spurs,Fulham,Luton Town,Nott'm Forest,Liverpool,Man City,Aston Villa,Luton Town,Nott'm Forest,Bournemouth,Arsenal,Wolves,Chelsea,Crystal Palace,West Ham,Everton,Fulham,Spurs,Man Utd,Sheff Utd,Burnley,Brighton,Brentford
Nott'm Forest,Arsenal,Sheff Utd,Man Utd,Chelsea,Burnley,Man City,Brentford,Crystal Palace,Luton Town,Liverpool,Aston Villa,West Ham,Brighton,Everton,Fulham,Wolves,Spurs,Bournemouth,Newcastle,Man Utd,Brentford,Arsenal,Bournemouth,Newcastle,West Ham,Aston Villa,Liverpool,Brighton,Luton Town,Crystal Palace,Fulham,Spurs,Wolves,Everton,Man City,Sheff Utd,Chelsea,Burnley
Sheff Utd,Crystal Palace,Nott'm Forest,Man City,Everton,Spurs,Newcastle,West Ham,Fulham,Man Utd,Arsenal,Wolves,Brighton,Bournemouth,Burnley,Liverpool,Brentford,Chelsea,Aston Villa,Luton Town,Man City,West Ham,Crystal Palace,Aston Villa,Luton Town,Brighton,Wolves,Arsenal,Bournemouth,Man Utd,Fulham,Liverpool,Chelsea,Brentford,Burnley,Newcastle,Nott'm Forest,Everton,Spurs
Spurs,Brentford,Man Utd,Bournemouth,Burnley,Sheff Utd,Arsenal,Liverpool,Luton Town,Fulham,Crystal Palace,Chelsea,Wolves,Aston Villa,Man City,West Ham,Newcastle,Nott'm Forest,Everton,Brighton,Bournemouth,Man Utd,Brentford,Everton,Brighton,Wolves,Chelsea,Crystal Palace,Aston Villa,Fulham,Luton Town,West Ham,Nott'm Forest,Newcastle,Man City,Arsenal,Liverpool,Burnley,Sheff Utd
West Ham,Bournemouth,Chelsea,Brighton,Luton Town,Man City,Liverpool,Sheff Utd,Newcastle,Aston Villa,Everton,Brentford,Nott'm Forest,Burnley,Crystal Palace,Spurs,Fulham,Wolves,Man Utd,Arsenal,Brighton,Sheff Utd,Bournemouth,Man Utd,Arsenal,Nott'm Forest,Brentford,Everton,Burnley,Aston Villa,Newcastle,Spurs,Wolves,Fulham,Crystal Palace,Liverpool,Chelsea,Luton Town,Man City
Wolves,Man Utd,Brighton,Everton,Crystal Palace,Liverpool,Luton Town,Man City,Aston Villa,Bournemouth,Newcastle,Sheff Utd,Spurs,Fulham,Arsenal,Burnley,Nott'm Forest,West Ham,Chelsea,Brentford,Everton,Brighton,Man Utd,Chelsea,Brentford,Spurs,Sheff Utd,Newcastle,Fulham,Bournemouth,Aston Villa,Burnley,West Ham,Nott'm Forest,Arsenal,Luton Town,Man City,Crystal Palace,Liverpool